LAMMPS Description

     1000  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 5.0 xlo xhi
  0.0 5.0 ylo yhi
  0.0 5.0 zlo zhi

Masses

      1		22.989
      2 	35.453

Atoms # full

119 119 1 1.0 0.0 2.5 4.5
120 120 2 -1.0 0.5 2.5 4.5
121 121 1 1.0 0.0 3.0 0.0
122 122 2 -1.0 0.5 3.0 0.0
123 123 1 1.0 0.5 3.5 0.0
124 124 2 -1.0 0.0 3.5 0.0
125 125 1 1.0 0.5 3.0 0.5
126 126 2 -1.0 0.0 3.0 0.5
127 127 1 1.0 0.0 3.5 0.5
128 128 2 -1.0 0.5 3.5 0.5
129 129 1 1.0 0.0 3.0 1.0
130 130 2 -1.0 0.5 3.0 1.0
131 131 1 1.0 0.5 3.5 1.0
132 132 2 -1.0 0.0 3.5 1.0
133 133 1 1.0 0.5 3.0 1.5
134 134 2 -1.0 0.0 3.0 1.5
135 135 1 1.0 0.0 3.5 1.5
136 136 2 -1.0 0.5 3.5 1.5
137 137 1 1.0 0.0 3.0 2.0
138 138 2 -1.0 0.5 3.0 2.0
139 139 1 1.0 0.5 3.5 2.0
140 140 2 -1.0 0.0 3.5 2.0
141 141 1 1.0 0.5 3.0 2.5
142 142 2 -1.0 0.0 3.0 2.5
143 143 1 1.0 0.0 3.5 2.5
144 144 2 -1.0 0.5 3.5 2.5
145 145 1 1.0 0.0 3.0 3.0
146 146 2 -1.0 0.5 3.0 3.0
147 147 1 1.0 0.5 3.5 3.0
148 148 2 -1.0 0.0 3.5 3.0
149 149 1 1.0 0.5 3.0 3.5
150 150 2 -1.0 0.0 3.0 3.5
151 151 1 1.0 0.0 3.5 3.5
152 152 2 -1.0 0.5 3.5 3.5
153 153 1 1.0 0.0 3.0 4.0
154 154 2 -1.0 0.5 3.0 4.0
155 155 1 1.0 0.5 3.5 4.0
156 156 2 -1.0 0.0 3.5 4.0
157 157 1 1.0 0.5 3.0 4.5
158 158 2 -1.0 0.0 3.0 4.5
159 159 1 1.0 0.0 3.5 4.5
160 160 2 -1.0 0.5 3.5 4.5
161 161 1 1.0 0.0 4.0 0.0
162 162 2 -1.0 0.5 4.0 0.0
163 163 1 1.0 0.5 4.5 0.0
164 164 2 -1.0 0.0 4.5 0.0
165 165 1 1.0 0.5 4.0 0.5
166 166 2 -1.0 0.0 4.0 0.5
167 167 1 1.0 0.0 4.5 0.5
168 168 2 -1.0 0.5 4.5 0.5
169 169 1 1.0 0.0 4.0 1.0
170 170 2 -1.0 0.5 4.0 1.0
171 171 1 1.0 0.5 4.5 1.0
172 172 2 -1.0 0.0 4.5 1.0
173 173 1 1.0 0.5 4.0 1.5
174 174 2 -1.0 0.0 4.0 1.5
175 175 1 1.0 0.0 4.5 1.5
176 176 2 -1.0 0.5 4.5 1.5
177 177 1 1.0 0.0 4.0 2.0
178 178 2 -1.0 0.5 4.0 2.0
179 179 1 1.0 0.5 4.5 2.0
180 180 2 -1.0 0.0 4.5 2.0
181 181 1 1.0 0.5 4.0 2.5
182 182 2 -1.0 0.0 4.0 2.5
183 183 1 1.0 0.0 4.5 2.5
184 184 2 -1.0 0.5 4.5 2.5
185 185 1 1.0 0.0 4.0 3.0
186 186 2 -1.0 0.5 4.0 3.0
187 187 1 1.0 0.5 4.5 3.0
188 188 2 -1.0 0.0 4.5 3.0
189 189 1 1.0 0.5 4.0 3.5
190 190 2 -1.0 0.0 4.0 3.5
191 191 1 1.0 0.0 4.5 3.5
192 192 2 -1.0 0.5 4.5 3.5
193 193 1 1.0 0.0 4.0 4.0
194 194 2 -1.0 0.5 4.0 4.0
195 195 1 1.0 0.5 4.5 4.0
196 196 2 -1.0 0.0 4.5 4.0
197 197 1 1.0 0.5 4.0 4.5
198 198 2 -1.0 0.0 4.0 4.5
199 199 1 1.0 0.0 4.5 4.5
200 200 2 -1.0 0.5 4.5 4.5
201 201 1 1.0 1.0 0.0 0.0
202 202 2 -1.0 1.5 0.0 0.0
203 203 1 1.0 1.5 0.5 0.0
204 204 2 -1.0 1.0 0.5 0.0
205 205 1 1.0 1.5 0.0 0.5
206 206 2 -1.0 1.0 0.0 0.5
207 207 1 1.0 1.0 0.5 0.5
208 208 2 -1.0 1.5 0.5 0.5
209 209 1 1.0 1.0 0.0 1.0
210 210 2 -1.0 1.5 0.0 1.0
