"solution","res","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.4625e-06,1.7934e-12,0,1,1.2625,0,0,1.2625
6.165e-06,1.741e-12,0,1,1.275,0,0,1.275
4.8675e-06,1.6887e-12,0,1,1.2875,0,0,1.2875
3.57e-06,1.6364e-12,0,1,1.3,0,0,1.3
2.2725e-06,1.584e-12,0,1,1.3125,0,0,1.3125
9.7499e-07,1.5317e-12,0,1,1.325,0,0,1.325
-3.2251e-07,1.4794e-12,0,1,1.3375,0,0,1.3375
-1.62e-06,1.4271e-12,0,1,1.35,0,0,1.35
-2.9175e-06,1.3747e-12,0,1,1.3625,0,0,1.3625
-4.215e-06,1.3224e-12,0,1,1.375,0,0,1.375
-5.5125e-06,1.2701e-12,0,1,1.3875,0,0,1.3875
-6.81e-06,1.2178e-12,0,1,1.4,0,0,1.4
-8.1075e-06,1.1654e-12,0,1,1.4125,0,0,1.4125
-9.405e-06,1.1131e-12,0,1,1.425,0,0,1.425
-1.0703e-05,1.0608e-12,0,1,1.4375,0,0,1.4375
-1.2e-05,1.0085e-12,0,1,1.45,0,0,1.45
-1.3298e-05,9.5613e-13,0,1,1.4625,0,0,1.4625
-1.4595e-05,9.038e-13,0,1,1.475,0,0,1.475
-1.5893e-05,8.5148e-13,0,1,1.4875,0,0,1.4875
-1.719e-05,7.9915e-13,0,1,1.5,0,0,1.5
-1.8488e-05,7.4682e-13,0,1,1.5125,0,0,1.5125
-1.9785e-05,6.945e-13,0,1,1.525,0,0,1.525
-2.1083e-05,6.4217e-13,0,1,1.5375,0,0,1.5375
-2.238e-05,5.8984e-13,0,1,1.55,0,0,1.55
-2.3678e-05,5.3752e-13,0,1,1.5625,0,0,1.5625
-2.3002e-05,4.8579e-13,0,1,1.575,0,0,1.575
-2.2327e-05,4.3406e-13,0,1,1.5875,0,0,1.5875
-2.1652e-05,3.8234e-13,0,1,1.6,0,0,1.6
-2.0976e-05,3.3061e-13,0,1,1.6125,0,0,1.6125
-2.0301e-05,2.7889e-13,0,1,1.625,0,0,1.625
-1.9626e-05,2.2716e-13,0,1,1.6375,0,0,1.6375
-1.8951e-05,1.7543e-13,0,1,1.65,0,0,1.65
-1.8275e-05,1.2371e-13,0,1,1.6625,0,0,1.6625
-1.76e-05,7.198e-14,0,1,1.675,0,0,1.675
-1.6925e-05,2.0253e-14,0,1,1.6875,0,0,1.6875
-1.625e-05,-3.1474e-14,0,1,1.7,0,0,1.7
-1.5574e-05,-8.32e-14,0,1,1.7125,0,0,1.7125
-1.4899e-05,-1.3493e-13,0,1,1.725,0,0,1.725
-1.4224e-05,-1.8665e-13,0,1,1.7375,0,0,1.7375
-1.3548e-05,-2.3838e-13,0,1,1.75,0,0,1.75
-1.2873e-05,-2.9011e-13,0,1,1.7625,0,0,1.7625
-1.2198e-05,-3.4183e-13,0,1,1.775,0,0,1.775
-1.1523e-05,-3.9356e-13,0,1,1.7875,0,0,1.7875
-1.0847e-05,-4.4529e-13,0,1,1.8,0,0,1.8
-1.0172e-05,-4.9701e-13,0,1,1.8125,0,0,1.8125
-9.4969e-06,-5.4874e-13,0,1,1.825,0,0,1.825
-8.8216e-06,-6.0046e-13,0,1,1.8375,0,0,1.8375
-8.1463e-06,-6.5219e-13,0,1,1.85,0,0,1.85
-7.4711e-06,-7.0392e-13,0,1,1.8625,0,0,1.8625
-6.7958e-06,-7.5564e-13,0,1,1.875,0,0,1.875
-6.6257e-06,-6.7118e-13,0,1,1.8875,0,0,1.8875
-6.4557e-06,-5.8672e-13,0,1,1.9,0,0,1.9
-6.2857e-06,-5.0225e-13,0,1,1.9125,0,0,1.9125
-6.1156e-06,-4.1779e-13,0,1,1.925,0,0,1.925
-5.9456e-06,-3.3333e-13,0,1,1.9375,0,0,1.9375
-5.7756e-06,-2.4886e-13,0,1,1.95,0,0,1.95
-5.6055e-06,-1.644e-13,0,1,1.9625,0,0,1.9625
-5.4355e-06,-7.9936e-14,0,1,1.975,0,0,1.975
-5.2655e-06,4.5273e-15,0,1,1.9875,0,0,1.9875
-5.0954e-06,8.8991e-14,0,1,2,0,0,2
-4.9254e-06,1.7346e-13,0,1,2.0125,0,0,2.0125
-4.7553e-06,2.5792e-13,0,1,2.025,0,0,2.025
-4.5853e-06,3.4238e-13,0,1,2.0375,0,0,2.0375
-4.4153e-06,4.2685e-13,0,1,2.05,0,0,2.05
-4.2452e-06,5.1131e-13,0,1,2.0625,0,0,2.0625
-4.0752e-06,5.9577e-13,0,1,2.075,0,0,2.075
-3.9052e-06,6.8024e-13,0,1,2.0875,0,0,2.0875
-3.7351e-06,7.647e-13,0,1,2.1,0,0,2.1
-3.5651e-06,8.4916e-13,0,1,2.1125,0,0,2.1125
-3.3951e-06,9.3363e-13,0,1,2.125,0,0,2.125
-3.225e-06,1.0181e-12,0,1,2.1375,0,0,2.1375
-3.055e-06,1.1026e-12,0,1,2.15,0,0,2.15
-2.885e-06,1.187e-12,0,1,2.1625,0,0,2.1625
-2.7149e-06,1.2715e-12,0,1,2.175,0,0,2.175
-2.5449e-06,1.3559e-12,0,1,2.1875,0,0,2.1875
-2.4431e-06,1.3017e-12,0,1,2.2,0,0,2.2
-2.3413e-06,1.2475e-12,0,1,2.2125,0,0,2.2125
-2.2395e-06,1.1932e-12,0,1,2.225,0,0,2.225
-2.1377e-06,1.139e-12,0,1,2.2375,0,0,2.2375
-2.0359e-06,1.0848e-12,0,1,2.25,0,0,2.25
-1.9341e-06,1.0305e-12,0,1,2.2625,0,0,2.2625
-1.8323e-06,9.7628e-13,0,1,2.275,0,0,2.275
-1.7305e-06,9.2204e-13,0,1,2.2875,0,0,2.2875
-1.6287e-06,8.678e-13,0,1,2.3,0,0,2.3
-1.5269e-06,8.1357e-13,0,1,2.3125,0,0,2.3125
-1.4251e-06,7.5933e-13,0,1,2.325,0,0,2.325
-1.3233e-06,7.0509e-13,0,1,2.3375,0,0,2.3375
-1.2215e-06,6.5085e-13,0,1,2.35,0,0,2.35
-1.1197e-06,5.9662e-13,0,1,2.3625,0,0,2.3625
-1.018e-06,5.4238e-13,0,1,2.375,0,0,2.375
-9.1616e-07,4.8814e-13,0,1,2.3875,0,0,2.3875
-8.1436e-07,4.339e-13,0,1,2.4,0,0,2.4
-7.1257e-07,3.7966e-13,0,1,2.4125,0,0,2.4125
-6.1077e-07,3.2543e-13,0,1,2.425,0,0,2.425
-5.0898e-07,2.7119e-13,0,1,2.4375,0,0,2.4375
-4.0718e-07,2.1695e-13,0,1,2.45,0,0,2.45
-3.0539e-07,1.6271e-13,0,1,2.4625,0,0,2.4625
-2.0359e-07,1.0848e-13,0,1,2.475,0,0,2.475
-1.018e-07,5.4238e-14,0,1,2.4875,0,0,2.4875
5.6508e-22,-3.0108e-28,0,1,2.5,0,0,2.5
